State;Election_method;num_Obama;perc_Obama;Electoral_votes_Obama;num_Romney;perc_Romney;Electoral_votes_Romney;State_short
Alabama;WTA;795696;38.36%;0;1255925;60.55%;9;AL
Alaska;WTA;122640;40.81%;0;164676;54.80%;3;AK
Arizona;WTA;1025232;44.59%;0;1233654;53.65%;11;AZ
Arkansas;WTA;394409;36.88%;0;647744;60.57%;6;AR
California;WTA;7854285;60.24%;55;4839958;37.12%;0;CA
Colorado;WTA;1323101;51.49%;9;1185243;46.13%;0;CO
Connecticut;WTA;905083;58.06%;7;634892;40.73%;0;CT
Delaware;WTA;242584;58.61%;3;165484;39.98%;0;DE
District of Columbia;WTA;267070;90.91%;3;21381;7.28%;0;DC
Florida;WTA;4237756;50.01%;29;4163447;49.13%;0;FL
Georgia;WTA;1773827;45.48%;0;2078688;53.30%;16;GA
Hawaii;WTA;306658;70.55%;4;121015;27.84%;0;HI
Idaho;WTA;212787;32.62%;0;420911;64.53%;4;ID
Illinois;WTA;3019512;57.60%;20;2135216;40.73%;0;IL
Indiana;WTA;1152887;43.93%;0;1420543;54.13%;11;IN
Iowa;WTA;822544;51.99%;6;730617;46.18%;0;IA
Kansas;WTA;440726;37.99%;0;692634;59.71%;6;KS
Kentucky;WTA;679370;37.80%;0;1087190;60.49%;8;KY
Louisiana;WTA;809141;40.58%;0;1152262;57.78%;8;LA
Maine;WTA;401306;56.27%;4;292276;40.98%;0;ME
Maryland;WTA;1677844;61.97%;10;971869;35.90%;0;MD
Massachusetts;WTA;1921290;60.65%;11;1188314;37.51%;0;MA
Michigan;WTA;2564569;54.21%;16;2115256;44.71%;0;MI
Minnesota;WTA;1546167;52.65%;10;1320225;44.96%;0;MN
Mississippi;WTA;562949;43.79%;0;710746;55.29%;6;MS
Missouri;WTA;1223796;44.38%;0;1482440;53.76%;10;MO
Montana;WTA;201839;41.70%;0;267928;55.35%;3;MT
Nebraska;WTA;302081;38.03%;0;475064;59.80%;5;NE
Nevada;WTA;531373;52.36%;6;463567;45.68%;0;NV
New Hampshire;WTA;369561;51.98%;4;329918;46.40%;0;NH
New Jersey;WTA;2125101;58.38%;14;1477568;40.59%;0;NJ
New Mexico;WTA;415335;52.99%;5;335788;42.84%;0;NM
New York;WTA;4485741;63.35%;29;2490431;35.17%;0;NY
North Carolina;WTA;2178391;48.35%;0;2270395;50.39%;15;NC
North Dakota;WTA;124827;38.69%;0;188163;58.32%;3;ND
Ohio;WTA;2827709;50.67%;18;2661437;47.69%;0;OH
Oklahoma;WTA;443547;33.23%;0;891325;66.77%;7;OK
Oregon;WTA;970488;54.24%;7;754175;42.15%;0;OR
Pennsylvania;WTA;2990274;51.97%;20;2680434;46.59%;0;PA
Rhode Island;WTA;279677;62.70%;4;157204;35.24%;0;RI
South Carolina;WTA;865941;44.09%;0;1071645;54.56%;9;SC
South Dakota;WTA;145039;39.87%;0;210610;57.89%;3;SD
Tennessee;WTA;960709;39.08%;0;1462330;59.48%;11;TN
Texas;WTA;3308124;41.38%;0;4569843;57.17%;38;TX
Utah;WTA;251813;24.75%;0;740600;72.79%;6;UT
Vermont;WTA;199239;66.57%;3;92698;30.97%;0;VT
Virginia;WTA;1971820;51.16%;13;1822522;47.28%;0;VA
Washington;WTA;1755396;56.16%;12;1290670;41.29%;0;WA
West Virginia;WTA;238269;35.54%;0;417655;62.30%;5;WV
Wisconsin;WTA;1620985;52.83%;10;1407966;45.89%;0;WI
Wyoming;WTA;69286;27.82%;0;170962;68.64%;3;WY
